,title,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature
177,Lady Marmalade,1oiFqhXJDtakpQULbBXpu0,0.664,0.751,0,-5.285,1,0.064,0.555,0.000407,0.0799,0.961,117.893,1oiFqhXJDtakpQULbBXpu0,spotify:track:1oiFqhXJDtakpQULbBXpu0,https://api.spotify.com/v1/tracks/1oiFqhXJDtakpQULbBXpu0,https://api.spotify.com/v1/audio-analysis/1oiFqhXJDtakpQULbBXpu0,234200,4
178,"That Lady, Pts. 1 & 2",61YBougklegLvlUPuohXUo,0.337,0.812,5,-8.892,0,0.0617,0.193,3.14e-05,0.388,0.917,126.271,61YBougklegLvlUPuohXUo,spotify:track:61YBougklegLvlUPuohXUo,https://api.spotify.com/v1/tracks/61YBougklegLvlUPuohXUo,https://api.spotify.com/v1/audio-analysis/61YBougklegLvlUPuohXUo,333707,4
179,Dance to the Music,7lfJrO2bB9b1va1WYJ5yWx,0.707,0.58,0,-9.723,1,0.102,0.0189,0.00029,0.895,0.807,128.192,7lfJrO2bB9b1va1WYJ5yWx,spotify:track:7lfJrO2bB9b1va1WYJ5yWx,https://api.spotify.com/v1/tracks/7lfJrO2bB9b1va1WYJ5yWx,https://api.spotify.com/v1/audio-analysis/7lfJrO2bB9b1va1WYJ5yWx,176293,4
180,The Love I Lost (feat. Teddy Pendergrass) - Single Version,5BokNOKT47jjJvpZAos2vM,0.63,0.757,2,-8.601,1,0.0418,0.187,1.4e-06,0.619,0.717,123.81,5BokNOKT47jjJvpZAos2vM,spotify:track:5BokNOKT47jjJvpZAos2vM,https://api.spotify.com/v1/tracks/5BokNOKT47jjJvpZAos2vM,https://api.spotify.com/v1/audio-analysis/5BokNOKT47jjJvpZAos2vM,220107,4
181,I Love Music,6bc6Eip2VjxFwHVoGM8Ugt,0.567,0.773,5,-9.637,0,0.117,0.000161,0.523,0.0725,0.895,127.783,6bc6Eip2VjxFwHVoGM8Ugt,spotify:track:6bc6Eip2VjxFwHVoGM8Ugt,https://api.spotify.com/v1/tracks/6bc6Eip2VjxFwHVoGM8Ugt,https://api.spotify.com/v1/audio-analysis/6bc6Eip2VjxFwHVoGM8Ugt,410267,4
182,Boogie Wonderland,5hJKyyxtwrfJKKnLX31YG0,0.806,0.864,2,-8.101,0,0.0326,0.105,0.0096,0.0243,0.966,131.886,5hJKyyxtwrfJKKnLX31YG0,spotify:track:5hJKyyxtwrfJKKnLX31YG0,https://api.spotify.com/v1/tracks/5hJKyyxtwrfJKKnLX31YG0,https://api.spotify.com/v1/audio-analysis/5hJKyyxtwrfJKKnLX31YG0,286667,4
183,Best of My Love,4XAeGST28pPQJo1TrG94au,0.776,0.737,0,-6.547,1,0.0331,0.433,0.29,0.0483,0.972,115.35,4XAeGST28pPQJo1TrG94au,spotify:track:4XAeGST28pPQJo1TrG94au,https://api.spotify.com/v1/tracks/4XAeGST28pPQJo1TrG94au,https://api.spotify.com/v1/audio-analysis/4XAeGST28pPQJo1TrG94au,217933,4
184,Got to Be Real,207ucQrfXLCJ0egZlabT1g,0.796,0.726,5,-7.599,1,0.044,0.0511,0.00425,0.0707,0.882,114.683,207ucQrfXLCJ0egZlabT1g,spotify:track:207ucQrfXLCJ0egZlabT1g,https://api.spotify.com/v1/tracks/207ucQrfXLCJ0egZlabT1g,https://api.spotify.com/v1/audio-analysis/207ucQrfXLCJ0egZlabT1g,221493,4
185,It Only Takes A Minute,4SBwn6eqCAc3AzsLFWyC1u,0.645,0.758,5,-6.906,0,0.0326,0.14,0.000175,0.269,0.97,122.527,4SBwn6eqCAc3AzsLFWyC1u,spotify:track:4SBwn6eqCAc3AzsLFWyC1u,https://api.spotify.com/v1/tracks/4SBwn6eqCAc3AzsLFWyC1u,https://api.spotify.com/v1/audio-analysis/4SBwn6eqCAc3AzsLFWyC1u,236800,4
186,Boogie Oogie Oogie,0zp6G7fZ23aeNIgOTJxPM2,0.799,0.578,2,-10.205,0,0.0712,0.0958,0.00024,0.265,0.826,124.404,0zp6G7fZ23aeNIgOTJxPM2,spotify:track:0zp6G7fZ23aeNIgOTJxPM2,https://api.spotify.com/v1/tracks/0zp6G7fZ23aeNIgOTJxPM2,https://api.spotify.com/v1/audio-analysis/0zp6G7fZ23aeNIgOTJxPM2,326400,4
